epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.426,1.50639,0.92666,0.85688,0.91928,0.93762,0.93578,0.53605,1.3835,0.67917,0.82943,0.000665956,0.000665956,0.000665956
2,315.18,1.39827,0.66755,0.84029,0.93308,0.95305,0.94673,0.57951,1.31469,0.63255,0.82086,0.00120069,0.00120069,0.00120069
3,450.455,1.36279,0.63824,0.83588,0.93594,0.9588,0.94659,0.57875,1.29183,0.63858,0.81821,0.00160343,0.00160343,0.00160343
4,588.383,1.32731,0.61767,0.83039,0.93875,0.95912,0.94725,0.59073,1.26835,0.62262,0.81557,0.001406,0.001406,0.001406
5,720.108,1.30538,0.60219,0.8286,0.93746,0.96363,0.95039,0.59735,1.246,0.61456,0.81239,0.001208,0.001208,0.001208
6,857.968,1.28228,0.58934,0.82619,0.93913,0.96561,0.95173,0.61596,1.20655,0.58508,0.8102,0.00101,0.00101,0.00101
7,989.729,1.26329,0.57586,0.82281,0.93944,0.96651,0.9517,0.61189,1.21955,0.58231,0.81073,0.000812,0.000812,0.000812
8,1126.06,1.24595,0.56562,0.82169,0.94215,0.96619,0.95241,0.61808,1.20028,0.57995,0.8092,0.000614,0.000614,0.000614
9,1270.19,1.22759,0.55509,0.81986,0.94257,0.96705,0.95199,0.62461,1.17935,0.57212,0.8077,0.000416,0.000416,0.000416
10,1413.96,1.20837,0.54175,0.81799,0.94301,0.97047,0.95526,0.63273,1.17518,0.55948,0.80644,0.000218,0.000218,0.000218
